City,SubArea,Date,Address,BuildingType,LandArea,BuiltUp,PricePsf,Price
shah-alam,tiong-nam-industrial-park-2,09/08/2016,"✕✕, JALAN 15/22",SEMI-D FACTORY,"11,997 ft²","5,283 ft²",400,"4,800,000"
shah-alam,tiong-nam-industrial-park-2,05/08/2016,"✕✕✕, JALAN 15/22",SEMI-D FACTORY,"10,677 ft²","5,283 ft²",468,"5,000,000"
shah-alam,tiong-nam-industrial-park-2,31/03/2016,"✕✕, JALAN 15/23",SEMI-D FACTORY,"10,637 ft²","5,283 ft²",451,"4,800,000"
shah-alam,tiong-nam-industrial-park-2,08/10/2015,"✕✕ (✕✕), JALAN 15/22",SEMI-D FACTORY,"10,637 ft²","5,283 ft²",333,"3,540,000"
shah-alam,tiong-nam-industrial-park-2,17/08/2015,"✕✕✕, JALAN 15/22",SEMI-D FACTORY,"11,329 ft²","5,283 ft²",415,"4,700,000"
shah-alam,tiong-nam-industrial-park-2,03/11/2014,"✕✕, JALAN 15/22",SEMI-D FACTORY,"13,448 ft²","6,438 ft²",602,"8,100,000"
shah-alam,tiong-nam-industrial-park-2,10/10/2013,"✕✕, JALAN 15/22",SEMI-D FACTORY,"8,858 ft²","5,283 ft²",570,"5,049,060"
shah-alam,tiong-nam-industrial-park-2,,,,,,,
petaling-jaya,ss-25--petaling-jaya,18/11/2015,"✕✕, JALAN SS 25/28",TERRACE FACTORY - INTERMEDIATE,"2,000 ft²","3,433 ft²",760,"1,520,000"
petaling-jaya,ss-25--petaling-jaya,,,,,,,
petaling-jaya,seksyen-19,08/06/2016,"✕, JALAN 19/1",DETACHED FACTORY,,,571,"218,000,000"
petaling-jaya,seksyen-19,,,,,,,
petaling-jaya,kampung-sungai-kayu-ara,29/07/2016,"✕✕✕✕✕, JALAN JENJAROM",DETACHED FACTORY,"21,829 ft²","7,001 ft²",183,"4,000,000"
petaling-jaya,kampung-sungai-kayu-ara,,,,,,,
semenyih,jalan-kajang---semenyih,22/01/2016,"✕✕ ✕, JALAN RIA 2",SEMI-D FACTORY,"14,583 ft²","3,360 ft²",178,"2,600,000"
semenyih,jalan-kajang---semenyih,22/01/2016,"✕✕ ✕, JALAN RIA 2",SEMI-D FACTORY,"15,517 ft²","3,360 ft²",168,"2,600,000"
semenyih,jalan-kajang---semenyih,27/03/2015,"✕✕✕✕✕, JALAN SEMENYIH KAJANG",SEMI-D FACTORY,"16,074 ft²","3,330 ft²",156,"2,500,000"
semenyih,jalan-kajang---semenyih,24/06/2014,"✕✕ ✕, JALAN RIA 2",SEMI-D FACTORY,"14,583 ft²","3,360 ft²",171,"2,500,000"
semenyih,jalan-kajang---semenyih,24/06/2014,"✕✕ ✕, JALAN RIA 2",SEMI-D FACTORY,"15,517 ft²","3,360 ft²",161,"2,500,000"
semenyih,jalan-kajang---semenyih,,,,,,,
petaling-jaya,pusat-perindustrian-maju-jaya,23/12/2014,"✕, JALAN MJ/4",TERRACE FACTORY,"2,400 ft²","4,040 ft²",375,"900,000"
petaling-jaya,pusat-perindustrian-maju-jaya,09/04/2014,"✕✕, JALAN MJ/3 MEDAN MAJU JAYA",TERRACE FACTORY,"3,200 ft²","3,040 ft²",146,"468,000"
petaling-jaya,pusat-perindustrian-maju-jaya,,,,,,,
semenyih,semenyih-sentral-industrial-park,06/06/2016,"✕, SEMENYIH INTEGRATED 1",SEMI-D FACTORY,"13,822 ft²","5,720 ft²",200,"2,760,000"
semenyih,semenyih-sentral-industrial-park,17/12/2015,"✕, SEMENYIH INTEGRATED 1",SEMI-D FACTORY,"14,800 ft²","4,295 ft²",216,"3,200,000"
semenyih,semenyih-sentral-industrial-park,30/09/2014,"✕✕, SEMENYIH INTEGRATED",SEMI-D FACTORY,"13,818 ft²","5,720 ft²",137,"1,895,400"
semenyih,semenyih-sentral-industrial-park,15/02/2012,"✕✕, SEMENYIH INTEGRATED 3",SEMI-D FACTORY,"14,800 ft²","6,050 ft²",194,"2,875,880"
semenyih,semenyih-sentral-industrial-park,15/02/2012,"✕✕, SEMENYIH INTEGRATED 3",SEMI-D FACTORY,"14,800 ft²","6,050 ft²",194,"2,875,880"
semenyih,semenyih-sentral-industrial-park,,,,,,,
