City,Year,CityAddress,BuildingType,LandArea,PricePsf
selayang,2016,"selayang, jalan bidara 2/5",TERRACE FACTORY - INTERMEDIATE,"2,454",469
selayang,2016,"selayang, jalan 2/5",TERRACE FACTORY,"2,454",469
selayang,2015,"selayang, jalan bidara 1",TERRACE FACTORY - INTERMEDIATE,"2,454",562
selayang,2013,"selayang, jalan bidara 1",TERRACE FACTORY - INTERMEDIATE,"2,454",371
selayang,2017,"selayang, jalan sesama",TERRACE FACTORY - INTERMEDIATE,"2,250",800
selayang,2014,"selayang, jalan sesama",TERRACE FACTORY - INTERMEDIATE,"2,336",471
selayang,2014,"selayang, jalan sesama",TERRACE FACTORY - INTERMEDIATE,"2,250",711
selayang,2014,"selayang, lorong perusahaan ringan 1",TERRACE FACTORY - INTERMEDIATE,"4,534",331
selayang,2013,"selayang, jalan sesama",TERRACE FACTORY - INTERMEDIATE,"2,250",667
selayang,2016,"selayang, jalan indah 10a",TERRACE FACTORY - INTERMEDIATE,"1,320",553
selayang,2016,"selayang, jalan indah 10d",TERRACE FACTORY - INTERMEDIATE,"1,496",702
selayang,2016,"selayang, jalan indah 10b",TERRACE FACTORY - INTERMEDIATE,"2,317",539
selayang,2015,"selayang, jalan indah 10d",TERRACE FACTORY - INTERMEDIATE,"1,496",735
selayang,2015,"selayang, jalan indah 10e",TERRACE FACTORY - INTERMEDIATE,"1,899",442
selayang,2015,"selayang, jalan indah 10d",TERRACE FACTORY - INTERMEDIATE,"1,899",527
selayang,2013,"selayang, jalan indah 10b",TERRACE FACTORY - INTERMEDIATE,"1,797",779
selayang,2013,"selayang, jalan indah 10b",TERRACE FACTORY - CORNER LOT,"3,185",879
selayang,2017,"selayang, jalan 4",DETACHED FACTORY,"33,390",299
selayang,2017,"selayang, & ‰Ï¥‰Ï¥‰Ï¥‰Ï¥‰Ï¥, jalan 4",DETACHED FACTORY,"10,838",240
selayang,2017,"selayang, & ‰Ï¥‰Ï¥‰Ï¥‰Ï¥‰Ï¥, jalan 4",DETACHED FACTORY,"16,989",240
selayang,2016,"selayang, jalan 2",DETACHED FACTORY,"40,047",287
selayang,2016,"selayang, jalan 2",WAREHOUSE,"37,790",78
selayang,2015,"selayang, jalan selayang baru",DETACHED FACTORY,"34,003",382
selayang,2015,"selayang, &‰Ï¥‰Ï¥‰Ï¥‰Ï¥‰Ï¥, jalan 2",DETACHED FACTORY,"5,407","1,147"
selayang,2013,"selayang, & ‰Ï¥‰Ï¥‰Ï¥‰Ï¥‰Ï¥, off jalan rawang - ipoh",DETACHED FACTORY,"13,509",740
selayang,2013,"selayang, jalan besar",DETACHED FACTORY,"17,550",303
selayang,2013,"selayang, jalan besar",DETACHED FACTORY,"23,749",303
selayang,2017,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",516
selayang,2017,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",344
selayang,2017,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",344
selayang,2017,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",344
selayang,2016,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",281
selayang,2014,"selayang, jalan ps 4",TERRACE FACTORY - INTERMEDIATE,"1,600",250
selayang,2014,"selayang, jalan ps 4",TERRACE FACTORY,"3,960",379
selayang,2014,"selayang, jalan ps 3",TERRACE FACTORY - INTERMEDIATE,"1,600",175
